2_theta_1,intensity_1,2_theta_2,intensity_2,2_theta_3,intensity_3,material_name,material_formula
56.44,100,33.68,100,16.71,100,Murdochite,"PbCu6O8-x(Cl,Br)2x"
56.44,100,16.71,100,33.68,100,Murdochite,"PbCu6O8-x(Cl,Br)2x"
56.36,-,45.30,-,31.58,-,Hapkeite,Fe2Si
56.29,50,67.92,50,53.31,50,Oxyvanite,V3O5
56.29,100,33.04,85,37.07,65,Pyrite,FeS2
56.21,100,26.91,100,11.95,100,Akaganeite,"Fe+++(O,OH,Cl)"
56.21,100,22.21,98,38.61,69,Nsutite,(Mn++++1-x)(Mn++x)(O2-2x)(OH2x) where x = 0.06-0.07
56.21,100,11.95,100,26.91,100,Akaganeite,"Fe+++(O,OH,Cl)"
56.03,100,67.31,95,31.47,85,Simpsonite,"Al4(Ta,Nb)3O13(OH)"
55.66,-,41.99,-,36.65,-,Akhtenskite,Mn++++O2
55.04,100,35.32,90,32.05,80,Kimzeyite,"Ca3(Zr,Ti)2(Si,Al,Fe+++)3O12"
54.94,100,65.70,60,41.78,60,Kleberite,FeTi6O13•4(H2O) (?)
54.94,100,33.54,97,24.50,96,Eskolaite,Cr2O3
54.94,100,41.78,60,65.70,60,Kleberite,FeTi6O13•4(H2O) (?)
54.86,100,47.83,100,36.80,100,Malyshevite,PdCuBiS3
54.86,100,36.80,100,23.58,100,Malyshevite,PdCuBiS3
54.86,100,36.80,100,47.83,100,Malyshevite,PdCuBiS3
54.79,100,38.10,90,31.36,90,Polydymite,NiNi2S4
54.79,100,31.36,90,38.10,90,Polydymite,NiNi2S4
54.58,100,49.79,60,31.14,50,Fletcherite,"Cu(Ni,Co)2S4"
54.58,100,34.60,100,32.29,80,Cobaltite,CoAsS
54.58,100,32.05,96,46.03,52,Bravoite,"(Fe,Ni,Co)S2"
54.48,100,34.74,100,31.70,90,Yafsoanite,Ca3Te2Zn3O12
54.37,100,36.18,80,41.32,70,Pseudorutile,Fe+++2Ti3O9
54.30,100,61.30,60,33.50,60,Schallerite,Mn++16[As+++O2OH][Si12O30](OH)14
54.30,100,33.50,60,61.30,60,Schallerite,Mn++16[As+++O2OH][Si12O30](OH)14
54.23,100,53.89,100,64.93,90,Davidite-(Ce),"(Ce,La)(Y,U)(Ti,Fe+++)20O38"
54.23,100,27.77,80,36.19,60,Belyankinite,"Ca1-2(Ti,Zr,Nb)5O12•9(H2O) (?)"
54.16,40,36.19,30,27.77,20,Manganbelyankinite,"(Mn,Ca)(Ti,Nb)5O12•9(H2O)"
54.16,40,27.77,30,30.92,20,Manganbelyankinite,"(Mn,Ca)(Ti,Nb)5O12•9(H2O)"
54.09,100,27.35,80,29.91,70,Yttrobetafite-(Y),"(Y,U,Ce)2(Ti,Nb,Ta)2O6(OH)"
54.06,100,27.42,80,31.82,70,Laurite,RuS2
53.89,100,54.23,100,64.93,90,Davidite-(Ce),"(Ce,La)(Y,U)(Ti,Fe+++)20O38"
53.78,100,34.76,90,33.06,88,Tistarite,Ti2O3
53.65,100,27.16,100,35.60,90,Struverite,"(Ti,Ta,Fe+++)O2"
53.55,100,23.84,90,33.04,70,Natanite,Fe++Sn++++(OH)6
53.44,100,45.07,100,33.28,90,Maucherite,Ni11As8
53.44,100,40.15,88,32.56,65,IMA2008-060,Mg2(BO3)(OH)
53.31,50,56.29,50,67.92,50,Oxyvanite,V3O5
53.21,100,43.25,90,30.59,50,Gagarinite-(Y),"NaCaY(F,Cl)6"
53.21,100,36.56,100,20.98,100,Hisingerite,Fe+++2Si2O5(OH)4•2(H2O)
53.21,100,27.33,90,35.16,80,Ordonezite,ZnSb2O6
53.21,100,30.59,90,29.76,50,Gagarinite-(Y),"NaCaY(F,Cl)6"
53.21,100,20.98,100,36.56,100,Hisingerite,Fe+++2Si2O5(OH)4•2(H2O)
52.55,100,35.02,80,26.75,80,Tapiolite,"(Fe,Mn)(Ta,Nb)2O6"
52.55,100,35.02,80,26.75,80,Tapiolite-(Fe),"(Fe++,Mn++)(Ta,Nb)2O6"
52.55,100,31.14,100,26.91,100,Hollingworthite,"(Rh,Pt,Pd)AsS"
52.55,100,31.14,100,26.83,100,Irarsite,"(Ir,Ru,Rh,Pt)AsS"
52.55,100,24.03,70,17.65,70,Clinohumite,"(Mg,Fe++)9(SiO4)4(F,OH)2"
52.55,100,17.65,70,24.03,70,Clinohumite,"(Mg,Fe++)9(SiO4)4(F,OH)2"
52.55,100,26.83,100,31.14,100,Irarsite,"(Ir,Ru,Rh,Pt)AsS"
52.55,100,26.91,100,31.14,100,Hollingworthite,"(Rh,Pt,Pd)AsS"
52.55,100,26.75,80,35.02,80,Tapiolite-(Fe),"(Fe++,Mn++)(Ta,Nb)2O6"
52.55,100,26.75,80,35.02,80,Tapiolite,"(Fe,Mn)(Ta,Nb)2O6"
52.45,100,31.15,100,33.78,70,Sonolite,"Mn9(SiO4)4(OH,F)2"
52.42,90,34.33,80,27.00,70,Bezsmertnovite,"Au4Cu(Te,Pb)"
52.42,80,38.78,80,50.95,80,Felbertalite,Cu2Pb6Bi8S19
52.36,100,30.85,90,26.63,80,Platarsite,"(Pt,Rh,Ru)AsS"
52.23,100,47.83,70,29.96,60,Malanite,"Cu(Pt,Ir)2S4"
52.23,100,34.47,80,26.75,80,Varlamoffite,"(Sn,Fe)(O,OH)2"
52.23,100,31.36,100,36.96,70,Gehlenite,Ca2Al(AlSi)O7
52.23,100,26.75,80,34.47,80,Varlamoffite,"(Sn,Fe)(O,OH)2"
