Created as New Dataset,Sample 035 By whitece Date Monday, June 29 2020
cm-1,%T
3736.50,99.15
3736.00,99.12
3735.50,99.07
3735.00,99.02
3734.50,98.98
3734.00,98.98
3733.50,99.00
3733.00,99.02
3732.50,99.00
3732.00,98.95
3731.50,98.89
3731.00,98.83
3730.50,98.78
3730.00,98.75
3729.50,98.74
3729.00,98.74
3728.50,98.77
3728.00,98.80
3727.50,98.83
3727.00,98.84
3726.50,98.82
3726.00,98.80
3725.50,98.78
3725.00,98.77
3724.50,98.77
3724.00,98.79
3723.50,98.81
3723.00,98.82
3722.50,98.82
3722.00,98.80
3721.50,98.78
3721.00,98.76
3720.50,98.75
3720.00,98.74
3719.50,98.73
3719.00,98.71
3718.50,98.70
3718.00,98.68
3717.50,98.69
3717.00,98.70
3716.50,98.72
3716.00,98.72
3715.50,98.72
3715.00,98.73
3714.50,98.78
3714.00,98.86
3713.50,98.94
3713.00,98.99
3712.50,98.97
3712.00,98.90
3711.50,98.83
3711.00,98.81
3710.50,98.81
3710.00,98.81
3709.50,98.77
3709.00,98.70
3708.50,98.63
3708.00,98.59
3707.50,98.58
3707.00,98.59
3706.50,98.59
3706.00,98.57
3705.50,98.55
3705.00,98.54
3704.50,98.55
3704.00,98.58
3703.50,98.61
3703.00,98.64
3702.50,98.64
3702.00,98.63
3701.50,98.59
3701.00,98.55
3700.50,98.50
3700.00,98.47
3699.50,98.45
3699.00,98.45
3698.50,98.46
3698.00,98.46
3697.50,98.46
3697.00,98.45
3696.50,98.43
3696.00,98.41
3695.50,98.41
3695.00,98.41
3694.50,98.41
3694.00,98.42
3693.50,98.46
3693.00,98.51
3692.50,98.57
3692.00,98.59
3691.50,98.58
3691.00,98.58
3690.50,98.63
3690.00,98.72
3689.50,98.80
3689.00,98.79
3688.50,98.68
3688.00,98.51
3687.50,98.34
3687.00,98.23
3686.50,98.16
3686.00,98.14
3685.50,98.13
3685.00,98.11
3684.50,98.10
3684.00,98.09
3683.50,98.08
3683.00,98.05
3682.50,98.02
3682.00,97.99
3681.50,97.99
3681.00,98.02
3680.50,98.05
3680.00,98.06
3679.50,98.05
3679.00,98.05
3678.50,98.07
3678.00,98.14
3677.50,98.24
3677.00,98.34
3676.50,98.39
3676.00,98.37
3675.50,98.27
3675.00,98.13
3674.50,98.00
3674.00,97.88
3673.50,97.82
3673.00,97.82
3672.50,97.88
3672.00,97.97
3671.50,98.01
3671.00,97.99
3670.50,97.92
3670.00,97.82
3669.50,97.73
3669.00,97.65
3668.50,97.56
3668.00,97.49
3667.50,97.43
3667.00,97.38
3666.50,97.34
3666.00,97.30
3665.50,97.27
3665.00,97.27
3664.50,97.27
3664.00,97.27
3663.50,97.26
3663.00,97.24
3662.50,97.20
3662.00,97.16
3661.50,97.12
3661.00,97.10
3660.50,97.07
3660.00,97.03
3659.50,97.00
3659.00,96.98
3658.50,97.00
3658.00,97.04
3657.50,97.09
3657.00,97.11
3656.50,97.07
3656.00,97.00
3655.50,96.91
3655.00,96.83
3654.50,96.77
3654.00,96.75
3653.50,96.76
3653.00,96.80
3652.50,96.85
3652.00,96.89
3651.50,96.92
3651.00,96.95
3650.50,96.97
3650.00,96.97
3649.50,96.92
3649.00,96.85
3648.50,96.78
3648.00,96.71
3647.50,96.65
3647.00,96.58
3646.50,96.50
3646.00,96.41
3645.50,96.33
3645.00,96.29
3644.50,96.27
3644.00,96.27
3643.50,96.25
3643.00,96.23
3642.50,96.19
3642.00,96.15
3641.50,96.12
3641.00,96.10
3640.50,96.08
3640.00,96.07
3639.50,96.06
3639.00,96.04
3638.50,96.01
3638.00,95.99
3637.50,95.97
3637.00,95.94
3636.50,95.92
3636.00,95.91
3635.50,95.91
3635.00,95.92
3634.50,95.91
3634.00,95.88
3633.50,95.84
3633.00,95.80
3632.50,95.79
3632.00,95.82
3631.50,95.89
3631.00,95.99
3630.50,96.08
3630.00,96.13
3629.50,96.10
3629.00,96.01
3628.50,95.87
3628.00,95.73
3627.50,95.62
3627.00,95.55
3626.50,95.50
3626.00,95.46
3625.50,95.43
3625.00,95.41
3624.50,95.40
3624.00,95.39
3623.50,95.37
3623.00,95.35
3622.50,95.35
3622.00,95.37
3621.50,95.42
3621.00,95.46
3620.50,95.48
3620.00,95.47
3619.50,95.44
3619.00,95.39
3618.50,95.35
3618.00,95.30
3617.50,95.25
3617.00,95.20
3616.50,95.15
3616.00,95.11
3615.50,95.09
3615.00,95.10
3614.50,95.13
3614.00,95.16
3613.50,95.16
3613.00,95.12
3612.50,95.07
3612.00,95.02
3611.50,95.01
3611.00,95.03
3610.50,95.06
3610.00,95.07
3609.50,95.05
3609.00,95.00
3608.50,94.94
3608.00,94.88
3607.50,94.82
3607.00,94.77
3606.50,94.72
3606.00,94.68
3605.50,94.66
3605.00,94.64
3604.50,94.63
3604.00,94.63
3603.50,94.62
3603.00,94.60
3602.50,94.57
3602.00,94.54
3601.50,94.53
3601.00,94.52
3600.50,94.52
3600.00,94.51
3599.50,94.49
3599.00,94.45
3598.50,94.43
3598.00,94.42
3597.50,94.42
3597.00,94.43
3596.50,94.43
3596.00,94.42
3595.50,94.40
3595.00,94.36
3594.50,94.32
3594.00,94.28
3593.50,94.24
3593.00,94.21
3592.50,94.18
3592.00,94.17
3591.50,94.17
3591.00,94.18
3590.50,94.19
3590.00,94.21
3589.50,94.22
3589.00,94.23
3588.50,94.22
3588.00,94.20
3587.50,94.17
3587.00,94.12
3586.50,94.06
3586.00,93.99
3585.50,93.93
3585.00,93.89
3584.50,93.87
3584.00,93.86
3583.50,93.86
3583.00,93.84
3582.50,93.83
3582.00,93.81
3581.50,93.80
3581.00,93.79
3580.50,93.77
3580.00,93.76
3579.50,93.74
3579.00,93.73
3578.50,93.71
3578.00,93.68
3577.50,93.65
3577.00,93.61
3576.50,93.58
3576.00,93.55
3575.50,93.53
3575.00,93.50
3574.50,93.48
3574.00,93.47
3573.50,93.47
3573.00,93.46
3572.50,93.43
3572.00,93.40
3571.50,93.37
3571.00,93.37
3570.50,93.38
3570.00,93.42
3569.50,93.45
3569.00,93.47
3568.50,93.46
3568.00,93.44
3567.50,93.41
3567.00,93.37
3566.50,93.33
3566.00,93.27
3565.50,93.21
3565.00,93.15
3564.50,93.12
3564.00,93.10
3563.50,93.08
3563.00,93.04
3562.50,93.01
3562.00,92.99
3561.50,92.98
3561.00,92.98
3560.50,92.96
3560.00,92.93
3559.50,92.88
3559.00,92.83
3558.50,92.79
3558.00,92.77
3557.50,92.76
3557.00,92.74
3556.50,92.73
3556.00,92.71
3555.50,92.69
3555.00,92.68
3554.50,92.67
3554.00,92.67
3553.50,92.65
3553.00,92.64
3552.50,92.62
3552.00,92.59
3551.50,92.55
3551.00,92.49
3550.50,92.44
3550.00,92.40
3549.50,92.39
3549.00,92.39
3548.50,92.40
3548.00,92.41
3547.50,92.41
3547.00,92.40
3546.50,92.38
3546.00,92.35
3545.50,92.31
3545.00,92.26
3544.50,92.21
3544.00,92.17
3543.50,92.14
3543.00,92.12
3542.50,92.10
3542.00,92.08
3541.50,92.06
3541.00,92.04
3540.50,92.02
3540.00,92.01
3539.50,92.01
3539.00,92.00
3538.50,91.99
3538.00,91.97
3537.50,91.96
3537.00,91.94
3536.50,91.91
3536.00,91.87
3535.50,91.83
3535.00,91.79
3534.50,91.76
3534.00,91.75
3533.50,91.74
3533.00,91.73
3532.50,91.71
3532.00,91.68
3531.50,91.65
3531.00,91.63
3530.50,91.62
3530.00,91.61
3529.50,91.60
3529.00,91.59
3528.50,91.57
3528.00,91.52
3527.50,91.48
3527.00,91.45
3526.50,91.43
3526.00,91.43
3525.50,91.43
3525.00,91.43
3524.50,91.41
3524.00,91.39
3523.50,91.36
3523.00,91.33
3522.50,91.30
3522.00,91.27
3521.50,91.25
3521.00,91.22
3520.50,91.19
3520.00,91.17
3519.50,91.15
3519.00,91.13
3518.50,91.12
3518.00,91.11
3517.50,91.10
3517.00,91.08
3516.50,91.07
3516.00,91.05
3515.50,91.03
3515.00,91.01
3514.50,91.00
3514.00,90.98
3513.50,90.95
3513.00,90.91
3512.50,90.88
3512.00,90.86
3511.50,90.84
3511.00,90.83
3510.50,90.83
3510.00,90.83
3509.50,90.82
3509.00,90.80
3508.50,90.78
3508.00,90.76
3507.50,90.75
3507.00,90.75
3506.50,90.74
3506.00,90.73
3505.50,90.72
3505.00,90.70
3504.50,90.68
3504.00,90.67
3503.50,90.67
3503.00,90.65
3502.50,90.62
3502.00,90.57
3501.50,90.53
3501.00,90.50
3500.50,90.49
3500.00,90.49
3499.50,90.49
3499.00,90.47
3498.50,90.44
3498.00,90.41
3497.50,90.39
3497.00,90.39
3496.50,90.39
3496.00,90.39
3495.50,90.39
3495.00,90.36
3494.50,90.33
3494.00,90.29
3493.50,90.25
3493.00,90.21
3492.50,90.19
3492.00,90.17
3491.50,90.16
3491.00,90.17
3490.50,90.18
3490.00,90.18
3489.50,90.17
3489.00,90.14
3488.50,90.10
3488.00,90.07
3487.50,90.04
3487.00,90.03
3486.50,90.03
3486.00,90.02
3485.50,90.02
3485.00,90.01
3484.50,89.99
3484.00,89.96
3483.50,89.92
3483.00,89.88
3482.50,89.85
3482.00,89.82
3481.50,89.80
3481.00,89.79
3480.50,89.81
3480.00,89.83
3479.50,89.84
3479.00,89.84
3478.50,89.82
3478.00,89.78
3477.50,89.74
3477.00,89.71
3476.50,89.70
3476.00,89.71
3475.50,89.72
3475.00,89.71
